What is your gender?,Where are you from?,What is your age group?,What is your employment status / academic level?,What do you enjoy about a social media platform?,Do you think social media influences your impression on businesses?,What are the factors that influences your impression on the credibility of a promotion/advertisement from businesses on social media?,What social platform has influenced your online shopping most?,Which social media do you think will be best for a business to establish their brand's social presence?,Have you heard of a business utilizing machine learning techniques and algorithms?,Have you heard of a business utilizing machine learning techniques and algorithms to enhance their social presence?,How effective do you think these machine learning techniques and algorithms help with business?
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,No,4
Female,Selangor,20 - 24,Bachelors' Graduate,Do not like social media.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Facebook,Yes,Yes,3
Female,Negeri Sembilan,25 - 39,Bachelors' Graduate,Stay connected with friends.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Tiktok,Yes,Yes,4
Male,Penang,15 - 19,High School Graduate,Stay connected with friends.,Yes,Transparency and Honesty;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Snapchat,Facebook,Yes,Yes,3
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Ethical;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,Maybe,5
Male,Selangor,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.,Yes,Transparency and Honesty;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,5
Female,Selangor,15 - 19,High School Graduate,Stay connected with friends.;Opportunity to express self online.,Yes,Transparency and Honesty;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Snapchat,Instagram,No,No,3
Female,Selangor,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Maybe,4
Female,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Instagram,Twitter,Yes,Yes,4
Male,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.,No,Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Tiktok maybe?,Yes,Yes,4
Male,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Twitter,Maybe,Maybe,3
Female,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,5
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Facebook,Yes,Yes,4
Male,Negeri Sembilan,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,Yes,5
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Instagram,Maybe,Maybe,4
Male,Selangor,15 - 19,High School Graduate,Stay connected with friends.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Snapchat,Facebook,Yes,Yes,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Facebook,Yes,Yes,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Tiktok,Yes,Yes,4
Female,Penang,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Not sure,Yes,Yes,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,Facebook,Maybe,Maybe,4
Female,Selangor,25 - 39,Working,Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical,Twitter,Instagram,Yes,Yes,4
Male,Selangor,15 - 19,High School Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Snapchat,Instagram,Yes,Yes,5
Male,Selangor,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,5
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,Instagram,Yes,Yes,4
Male,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Facebook,Yes,Yes,5
Male,Selangor,20 - 24,Diploma Graduate,Do not like social media.,Sometimes,Level of expertise and knowledge of product.,Twitter,Facebook,Yes,Yes,3
Female,Penang,20 - 24,High School Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Snapchat,Facebook,Yes,Maybe,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,Yes,4
Female,Selangor,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Yes,Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,Maybe,4
Male,Penang,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.,Sometimes,Level of expertise and knowledge of product.,Snapchat,Facebook,Yes,Yes,5
Female,Selangor,20 - 24,Diploma Graduate,Stay connected with friends.;Engaging with new people around the world.,Yes,Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Twitter,Yes,Yes,3
Female,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Maybe,Maybe,3
Female,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Facebook,Yes,Yes,3
Female,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,3
